1,2,3,4,5,6,7,8
"(1, 0.5728318991988451)","(2, 0.2530633249969706)","(3, 0.3456665298902347)","(4, 0.4077989435920272)","(5, 0.6610849594443423)","(6, 0.3161042070184635)","(7, 0.2612636747270261)","(8, 0.0276086522413354)"
"(1, 0.6417460761964867)","(2, 0.3162994248395538)","(3, 0.3559506943712341)","(4, 0.3443993062311392)","(5, 0.6983193621196391)","(6, 0.315412482199248)","(7, 0.1783693467254139)","(8, 0.1793437844256062)"
"(1, 0.5296484085938211)","(2, 0.2936712005399912)","(3, 0.3135762310569949)","(4, 0.4299421754974591)","(5, 0.6353316769888269)","(6, 0.3505280446747327)","(7, 0.3260820117454438)","(8, 0.1410687411018197)"
"(1, 0.5596363557189413)","(2, 0.3504188177744157)","(3, 0.356881488839363)","(4, 0.3700322374271432)","(5, 0.6320102778500998)","(6, 0.3382938243365407)","(7, 0.1781007027713896)","(8, 0.2009551758686999)"
"(1, 0.7102687936787844)","(2, 0.2506672796038615)","(3, 0.472985586764801)","(4, 0.4685895715151013)","(5, 0.7074458421029508)","(6, 0.3968557545137675)","(7, 0.278154710036853)","(8, 0.2108533106284887)"
"(1, 0.5957001981864604)","(2, 0.3010332044843854)","(3, 0.3344600115519862)","(4, 0.3786253182064915)","(5, 0.6663528965309591)","(6, 0.3193749986027601)","(7, 0.2083539011205076)","(8, 0.1551904626391888)"
"(1, 0.7384172340888863)","(2, 0.3162543898683312)","(3, 0.3264686785542752)","(4, 0.4588453644847766)","(5, 0.7024853574512291)","(6, 0.3892951513360141)","(7, 0.2398351452299845)","(8, 0.19642605885487)"
"(1, 0.5111371715892882)","(2, 0.2327994176330775)","(3, 0.3067329981931149)","(4, 0.4918228641524159)","(5, 0.7842411129747128)","(6, 0.3704474959779835)","(7, 0.2653209113057502)","(8, 0.1184694568074817)"
"(1, 0.7338435830486565)","(2, 0.3132224937444301)","(3, 0.4067678632257067)","(4, 0.4548442331475903)","(5, 0.6866449281787009)","(6, 0.282797962249386)","(7, 0.2709422434537753)","(8, 0.0401734964998573)"
"(1, 0.7088798948209442)","(2, 0.4091226082296651)","(3, 0.3838542864784641)","(4, 0.4875158441058459)","(5, 0.7556067136034915)","(6, 0.3256550318886969)","(7, 0.2399804459547349)","(8, 0.1388409358731831)"
"(1, 0.7371659243757889)","(2, 0.3394459034435588)","(3, 0.3678991470423536)","(4, 0.3444528969372763)","(5, 0.740187690033727)","(6, 0.3749059538760128)","(7, 0.1805833807906968)","(8, 0.156281663327159)"
"(1, 0.5232929870439712)","(2, 0.3549555852165748)","(3, 0.2916925764737051)","(4, 0.4851400748540054)","(5, 0.7835305022084095)","(6, 0.3345940865630428)","(7, 0.2428805882505571)","(8, 0.1134630882212478)"
"(1, 0.6457402003483514)","(2, 0.3349485337279574)","(3, 0.4197604438444889)","(4, 0.4244823524441988)","(5, 0.6681677800068725)","(6, 0.4217291032564981)","(7, 0.2366092867831886)","(8, 0.1018090367435821)"
"(1, 0.6488889911691699)","(2, 0.3361844316708094)","(3, 0.4243457452691305)","(4, 0.4961869069333124)","(5, 0.6295562028696002)","(6, 0.3227858091400812)","(7, 0.2870940513998735)","(8, 0.0334767885241943)"
"(1, 0.5933181808793616)","(2, 0.3711430003564046)","(3, 0.4702129818319727)","(4, 0.434006430487416)","(5, 0.7736512765014065)","(6, 0.3660181984347876)","(7, 0.3236986508127847)","(8, 0.1683731340480141)"
"(1, 0.5587346645023895)","(2, 0.3933864162308454)","(3, 0.4105641743340978)","(4, 0.3909660226161678)","(5, 0.6520486376034519)","(6, 0.3834096674815843)","(7, 0.2379259853775558)","(8, 0.0167488876351448)"
"(1, 0.6953277393723338)","(2, 0.3679839122904727)","(3, 0.4136042236970772)","(4, 0.3504886446294302)","(5, 0.7340355325395469)","(6, 0.3508414690477375)","(7, 0.2159449604648047)","(8, 0.1636836469972327)"
"(1, 0.6773809705112817)","(2, 0.2337877887719415)","(3, 0.3430601553363557)","(4, 0.4093289259617618)","(5, 0.6330061882199759)","(6, 0.3270034507798106)","(7, 0.2799108834494226)","(8, 0.0122890657895668)"
"(1, 0.5685383862692)","(2, 0.3514285809155909)","(3, 0.4176093532866213)","(4, 0.4424106723457525)","(5, 0.6952019402678095)","(6, 0.2985691292072064)","(7, 0.1434359562255828)","(8, 0.0136445674537031)"
"(1, 0.7272408388410303)","(2, 0.3329328401697671)","(3, 0.347412107239022)","(4, 0.3608449474381274)","(5, 0.7798251414693833)","(6, 0.4293014003157326)","(7, 0.1428221225756232)","(8, 0.2111642149593608)"
"(1, 0.5297915967437431)","(2, 0.2286971293033759)","(3, 0.4142175824742756)","(4, 0.330148225224166)","(5, 0.6876805072289018)","(6, 0.3540845073025265)","(7, 0.1464341669712455)","(8, 0.1671319533852197)"
"(1, 0.5805528681629588)","(2, 0.332806332191302)","(3, 0.4336208363680045)","(4, 0.4269912527185105)","(5, 0.6845495991597798)","(6, 0.3424970088744195)","(7, 0.2534065011406273)","(8, 0.0329348087081066)"
"(1, 0.5952982381901252)","(2, 0.402428325237337)","(3, 0.3997285085776971)","(4, 0.4188984121030084)","(5, 0.7879912492288206)","(6, 0.2984332070806468)","(7, 0.2052686223947826)","(8, 0.0394678714032219)"
"(1, 0.6056738818613558)","(2, 0.2698501452628185)","(3, 0.4656753035094401)","(4, 0.3697520174106115)","(5, 0.7105482266933957)","(6, 0.3353640226891953)","(7, 0.2260410386426306)","(8, 0.1359442794070491)"
"(1, 0.5305930126032551)","(2, 0.3256000491116559)","(3, 0.4477201865468067)","(4, 0.4998528139099203)","(5, 0.8006139639725103)","(6, 0.4075281533866004)","(7, 0.2169402974352205)","(8, 0.1791529729448507)"
"(1, 0.639055521358605)","(2, 0.2546507215630542)","(3, 0.4038052689236315)","(4, 0.4066212386034724)","(5, 0.6498110154336079)","(6, 0.3833289205024222)","(7, 0.2143115389359149)","(8, 0.0122334253129493)"
"(1, 0.6130653337242836)","(2, 0.2437014605399863)","(3, 0.2931519532824434)","(4, 0.3284241174894328)","(5, 0.7178448135154065)","(6, 0.3222377563025972)","(7, 0.2468604861397925)","(8, 0.1865654819155452)"
"(1, 0.5060339374058547)","(2, 0.314996776197917)","(3, 0.3911232557045531)","(4, 0.4544828829972783)","(5, 0.8033289048216454)","(6, 0.2824536181310632)","(7, 0.1605764781815506)","(8, 0.0514240217579612)"
"(1, 0.548088663165738)","(2, 0.3561529629794106)","(3, 0.4064153104192664)","(4, 0.29639458029176)","(5, 0.770690794664662)","(6, 0.3243061194891989)","(7, 0.3303395362016842)","(8, 0.0948665865948235)"
"(1, 0.6810421067772521)","(2, 0.3540688484042247)","(3, 0.3008855732749304)","(4, 0.3868900189538339)","(5, 0.738176358203838)","(6, 0.2936775131210872)","(7, 0.2989767061737962)","(8, 0.0227700133762045)"
"(1, 0.6496187124453693)","(2, 0.2416057226448439)","(3, 0.4778613188914261)","(4, 0.5010999651984827)","(5, 0.7627255634366019)","(6, 0.3734689471030941)","(7, 0.2258061811042342)","(8, 0.1542757000157909)"
"(1, 0.5723259163403668)","(2, 0.3087613919166571)","(3, 0.4446512839868985)","(4, 0.4381024865973904)","(5, 0.6677673606404234)","(6, 0.2849964591872763)","(7, 0.2892758755156932)","(8, 0.1676358250262195)"
"(1, 0.533928628214389)","(2, 0.285766240196195)","(3, 0.2910608956009601)","(4, 0.4979352917974116)","(5, 0.7070328305169985)","(6, 0.3139014619457867)","(7, 0.1507729376273012)","(8, 0.0217380982961084)"
"(1, 0.5599466050102891)","(2, 0.2688419727294368)","(3, 0.3640509110352553)","(4, 0.4184898291424141)","(5, 0.6506249686891991)","(6, 0.3195627869215818)","(7, 0.3376894100166353)","(8, 0.0234962058819061)"
"(1, 0.5605664734312642)","(2, 0.2480484679209471)","(3, 0.3523243339990172)","(4, 0.367817206722009)","(5, 0.67124661375023)","(6, 0.3509844369370455)","(7, 0.1609033835029589)","(8, 0.2071298965483605)"
"(1, 0.6498779323161112)","(2, 0.3913580834669811)","(3, 0.4791816863142649)","(4, 0.4962694546002479)","(5, 0.722036705102724)","(6, 0.4235207472031711)","(7, 0.252925846328687)","(8, 0.0790819076761618)"
"(1, 0.6370242398103458)","(2, 0.3890544299503777)","(3, 0.370260004226564)","(4, 0.3408554807064313)","(5, 0.662267592885758)","(6, 0.3020278755846898)","(7, 0.2889404030129011)","(8, 0.1317350929142429)"
"(1, 0.5921467581736519)","(2, 0.3723161702760881)","(3, 0.3362797216034384)","(4, 0.3714365409869097)","(5, 0.6761217736139237)","(6, 0.3623881992760592)","(7, 0.3005945477051415)","(8, 0.049972935836015)"
"(1, 0.2225607778406273)","(2, 0.5831568015410009)","(3, 0.9531686661967868)","(4, 0.9497698950743168)","(5, 0.4839376646875295)","(6, 0.219728622195561)","(7, 0.555538176379015)","(8, 0.5550756810054323)"
"(1, 0.2125067945529355)","(2, 0.5315633665464135)","(3, 0.9258505433317948)","(4, 0.8490945717635959)","(5, 0.5119992643384446)","(6, 0.1731571758385308)","(7, 0.4674754323352733)","(8, 0.5661759716996513)"
"(1, 0.1343300546497178)","(2, 0.5735925249462479)","(3, 0.8431302404938805)","(4, 0.8551423390017643)","(5, 0.4214377093682385)","(6, 0.1314557133851642)","(7, 0.4494382465574567)","(8, 0.627975862941118)"
"(1, 0.1118980383241369)","(2, 0.6384643963513403)","(3, 0.9578500419162104)","(4, 0.8595394931732401)","(5, 0.545773008807793)","(6, 0.200133610662947)","(7, 0.5078247108989264)","(8, 0.6323300553505841)"
"(1, 0.1626687350987392)","(2, 0.5242993916811877)","(3, 0.9186773452743836)","(4, 0.922832035456377)","(5, 0.4603413224019222)","(6, 0.2279606028262875)","(7, 0.5719826953700216)","(8, 0.5263308790942998)"
"(1, 0.1884059628500324)","(2, 0.6230623046052761)","(3, 0.8445936197861609)","(4, 0.8822603947183502)","(5, 0.4457711553481392)","(6, 0.120690039171424)","(7, 0.5652025501467376)","(8, 0.5542406007709804)"
"(1, 0.1185791644012001)","(2, 0.6443366852180323)","(3, 0.8789688313389581)","(4, 0.8480363682361439)","(5, 0.3851705281998811)","(6, 0.1109994887987588)","(7, 0.4232263126301418)","(8, 0.5665300902009414)"
"(1, 0.1199596148063763)","(2, 0.6638405063264258)","(3, 0.8635166002307738)","(4, 0.8699308659240594)","(5, 0.4612175890190316)","(6, 0.0610362783617866)","(7, 0.4188732366098506)","(8, 0.5845308726390201)"
"(1, 0.0858053605795598)","(2, 0.511386965124232)","(3, 0.9015615114538928)","(4, 0.8470061622562284)","(5, 0.4257430895886266)","(6, 0.0663069981912568)","(7, 0.5172259010332485)","(8, 0.5329291402578209)"
"(1, 0.20216341364679)","(2, 0.5768760328612041)","(3, 0.90107706526105)","(4, 0.927788252240521)","(5, 0.5153606008599507)","(6, 0.0408018433488696)","(7, 0.5475406930440161)","(8, 0.5879079813591155)"
"(1, 0.2052496971995071)","(2, 0.6019377063057771)","(3, 0.8661140826177909)","(4, 0.9024602936115852)","(5, 0.3887317206336423)","(6, 0.0900730287704377)","(7, 0.5631471584304683)","(8, 0.5268928116476332)"
"(1, 0.0902805206217883)","(2, 0.5051417285324431)","(3, 0.9919226714846944)","(4, 0.9710992435441104)","(5, 0.4918628096996136)","(6, 0.1372264980952605)","(7, 0.5524151961502355)","(8, 0.5840183770953792)"
"(1, 0.1548829464844937)","(2, 0.52386636396982)","(3, 0.945855944552711)","(4, 0.937964405254156)","(5, 0.5418027366878734)","(6, 0.119948101417435)","(7, 0.5064832281825139)","(8, 0.5844285222911372)"
"(1, 0.1089064878249235)","(2, 0.5249205286173344)","(3, 0.8623552284649719)","(4, 0.9564381990462708)","(5, 0.375816679029093)","(6, 0.2061312029441851)","(7, 0.4522779702137651)","(8, 0.5444046173217653)"
"(1, 0.1226642224172889)","(2, 0.4558945495754692)","(3, 0.9298347298664572)","(4, 0.8659099797157995)","(5, 0.39138204756727)","(6, 0.143594572943324)","(7, 0.5727862870206382)","(8, 0.6101879392865736)"
"(1, 0.1655328324239845)","(2, 0.6486050564591253)","(3, 0.9335650604558432)","(4, 0.9272593781219652)","(5, 0.5241796748695557)","(6, 0.2208814530656554)","(7, 0.4845969424724706)","(8, 0.606725890535887)"
"(1, 0.0798670112047256)","(2, 0.656296971897261)","(3, 0.9594320460653576)","(4, 0.9089133591842607)","(5, 0.4744524840766119)","(6, 0.1810006632126863)","(7, 0.528019830862709)","(8, 0.5232219900984171)"
"(1, 0.0536333109016473)","(2, 0.5900646199135692)","(3, 0.8958228241280265)","(4, 0.8534245394365436)","(5, 0.5348784311726476)","(6, 0.1682644037226024)","(7, 0.5642231965229961)","(8, 0.521451927019941)"
"(1, 0.2183557796008707)","(2, 0.5606462875225557)","(3, 0.9756905715137422)","(4, 0.8665649327814907)","(5, 0.5497909098758075)","(6, 0.1200018097517061)","(7, 0.528050402511362)","(8, 0.5597661724536737)"
"(1, 0.2098180896428166)","(2, 0.4462186048414042)","(3, 0.9025796029007964)","(4, 0.851236517542957)","(5, 0.4540595868883289)","(6, 0.0816525469864088)","(7, 0.5823417648911193)","(8, 0.6284264867391435)"
"(1, 0.086408046889265)","(2, 0.5408719114485039)","(3, 0.8591969508038182)","(4, 0.9267714861317694)","(5, 0.4136946505130389)","(6, 0.087296838699018)","(7, 0.5926524013347179)","(8, 0.5630584400236304)"
"(1, 0.2162712717146811)","(2, 0.5822306910279454)","(3, 0.8441508727757489)","(4, 0.9480024654163922)","(5, 0.5448920803494017)","(6, 0.1569869878375787)","(7, 0.5475189611071732)","(8, 0.5714344449804167)"
"(1, 0.1755244180665493)","(2, 0.620310640034562)","(3, 0.9282415755050007)","(4, 0.9179846183955136)","(5, 0.4406508998980983)","(6, 0.0621742866829483)","(7, 0.4956557506225393)","(8, 0.668141233829252)"
"(1, 0.179059767972057)","(2, 0.541979649788746)","(3, 0.938621469963827)","(4, 0.9378059497509864)","(5, 0.423593479393841)","(6, 0.0915653024487385)","(7, 0.5730360847252672)","(8, 0.6056397017607538)"
"(1, 0.0431593392036742)","(2, 0.4483116987295785)","(3, 0.8594326243955507)","(4, 0.8318212668667501)","(5, 0.3992959584656163)","(6, 0.1228671868327871)","(7, 0.4474893232511387)","(8, 0.6618098790454832)"
"(1, 0.1274249669767245)","(2, 0.6224426422501339)","(3, 0.8406114254000534)","(4, 0.8410906301315)","(5, 0.4597336582646718)","(6, 0.2206422275633262)","(7, 0.5674404127144753)","(8, 0.5923049292495892)"
"(1, 0.0421088432837877)","(2, 0.536648303537817)","(3, 0.9378666978497082)","(4, 0.8568048352264132)","(5, 0.497324290340459)","(6, 0.064757413965479)","(7, 0.5512619899245406)","(8, 0.6903786211003238)"
"(1, 0.222495041136178)","(2, 0.4578016111915782)","(3, 0.95624022314753)","(4, 0.951422516372242)","(5, 0.5034145583725851)","(6, 0.1963165875763555)","(7, 0.5142054096985964)","(8, 0.5263478417504958)"
"(1, 0.1250622925828983)","(2, 0.4919028786632062)","(3, 0.8647032352894809)","(4, 0.887260022139498)","(5, 0.4516827253668787)","(6, 0.0481025467997959)","(7, 0.5732234765594326)","(8, 0.5921168158922979)"
"(1, 0.2182348121495058)","(2, 0.4365723318833609)","(3, 0.9164373191062796)","(4, 0.9388418876212098)","(5, 0.4546653847559695)","(6, 0.1146359893218488)","(7, 0.5588714652382607)","(8, 0.5681487832200289)"
"(1, 0.1547318205037061)","(2, 0.4808546155057003)","(3, 0.940728716935412)","(4, 0.9566109375916844)","(5, 0.4801669545634039)","(6, 0.2038063248009415)","(7, 0.4492273480518773)","(8, 0.6499887760336864)"
"(1, 0.0865857568809067)","(2, 0.5785818033220229)","(3, 0.8949451604520254)","(4, 0.9050534774053376)","(5, 0.5539412764103714)","(6, 0.1837201802762215)","(7, 0.4599134210835624)","(8, 0.5565258396101332)"
"(1, 0.0977473869046001)","(2, 0.4788722795600676)","(3, 0.8545468162897649)","(4, 0.8326756564698298)","(5, 0.4636092728589902)","(6, 0.0789107699983332)","(7, 0.469677836689822)","(8, 0.6325644358255391)"
"(1, 0.2433469387620102)","(2, 0.5885015979219252)","(3, 0.8898358633465341)","(4, 0.9344624666063138)","(5, 0.528645350368154)","(6, 0.1989500495863078)","(7, 0.5204857071788874)","(8, 0.5410775838319604)"
"(1, 0.0369566095977853)","(2, 0.5986258563878505)","(3, 0.8969951793100599)","(4, 0.971918326029426)","(5, 0.4411858746860745)","(6, 0.073934224346417)","(7, 0.425674507263758)","(8, 0.5947921609605454)"
"(1, 0.2224758121782916)","(2, 0.6559819690577486)","(3, 0.8787763369607086)","(4, 0.8589894148731898)","(5, 0.4856531161019058)","(6, 0.1986482844880896)","(7, 0.4338398578891816)","(8, 0.5760176505413829)"
"(1, 0.0539331476672191)","(2, 0.5482833542612072)","(3, 0.9469047013022068)","(4, 0.8386223460352695)","(5, 0.4889672436179347)","(6, 0.1490229749842659)","(7, 0.4587658126857241)","(8, 0.615264266569919)"
"(1, 0.1945679847504201)","(2, 0.4583134382889591)","(3, 0.9919790582152735)","(4, 0.9498421092585771)","(5, 0.3938039944819297)","(6, 0.1056194398497155)","(7, 0.6014613156964004)","(8, 0.7062973526271169)"
"(1, 0.0283547314304659)","(2, 0.6699334747473896)","(3, 0.8632551250735836)","(4, 0.8420704602745144)","(5, 0.4798126830018538)","(6, 0.2191493672755736)","(7, 0.4996317551650622)","(8, 0.6807987583485703)"
"(1, 0.1645365776925047)","(2, 0.6611339396977818)","(3, 0.9464548988330556)","(4, 0.8837783011672811)","(5, 0.3897708173639258)","(6, 0.1617095521811241)","(7, 0.5292737603241655)","(8, 0.5954932975436452)"
"(1, 0.1910974189672104)","(2, 0.457315123715701)","(3, 0.9883241050114716)","(4, 0.884720505044959)","(5, 0.4662244121234674)","(6, 0.0570163726754814)","(7, 0.4731956450653418)","(8, 0.700366810600923)"
"(1, 0.1614881756151548)","(2, 0.6443646899142828)","(3, 0.96024060205299)","(4, 0.9661388751621758)","(5, 0.4089591931809149)","(6, 0.2179478063996314)","(7, 0.532420106316482)","(8, 0.6185077341110081)"
"(1, 0.1334632464005652)","(2, 0.4451088491096819)","(3, 0.8758173045060951)","(4, 0.8947778308454893)","(5, 0.4413468224085746)","(6, 0.1026000727929063)","(7, 0.5011815005966593)","(8, 0.6839800530074013)"
"(1, 0.1900594531955746)","(2, 0.5224683526088552)","(3, 0.9822516801947558)","(4, 0.8773706045718478)","(5, 0.3793364037586359)","(6, 0.1660933563731726)","(7, 0.5341866941718618)","(8, 0.607867119700474)"
"(1, 0.101668998753367)","(2, 0.4382214365313309)","(3, 0.8464377157530037)","(4, 0.8808037465356156)","(5, 0.4934115708269881)","(6, 0.2095226277262042)","(7, 0.5447184972912935)","(8, 0.5360426536037084)"
"(1, 0.1412608583770498)","(2, 0.4870774975666317)","(3, 0.8778468269587905)","(4, 0.844245646910228)","(5, 0.3886264500398645)","(6, 0.1084753445396188)","(7, 0.6089903280573944)","(8, 0.5457792249576018)"
"(1, 0.7554774319686655)","(2, 0.9219821247726055)","(3, 0.5772041345908246)","(4, 0.6726000171222949)","(5, 0.9497769966789416)","(6, 0.9503104676756468)","(7, 0.925613158889948)","(8, 0.7025301877605473)"
"(1, 0.9580835615381432)","(2, 0.7690022476022609)","(3, 0.7092878758477299)","(4, 0.6841031792537835)","(5, 0.9406003141609228)","(6, 0.89515727592886)","(7, 0.9170287189809004)","(8, 0.7425167194831306)"
"(1, 0.8216464894156118)","(2, 0.8836110204060953)","(3, 0.7166268392881718)","(4, 0.7214891131534424)","(5, 0.981870055129575)","(6, 0.877102631928753)","(7, 0.8956136828539346)","(8, 0.8133534286568032)"
"(1, 0.7570696874114827)","(2, 0.8329790336623049)","(3, 0.7395459062466594)","(4, 0.745870779176208)","(5, 0.8483212645100447)","(6, 0.976162951261872)","(7, 0.8751566168127115)","(8, 0.7811980022055129)"
"(1, 0.8474948105084702)","(2, 0.8421366691981435)","(3, 0.5905694556124101)","(4, 0.7542398512103585)","(5, 0.8405088774690549)","(6, 0.9246931399255536)","(7, 0.8438553215061577)","(8, 0.7570864780540736)"
"(1, 0.7904804130331795)","(2, 0.7697545462068967)","(3, 0.6543471585670687)","(4, 0.6807408181884287)","(5, 0.953955211025534)","(6, 0.8851490247966769)","(7, 0.8363530728565571)","(8, 0.7473166641214535)"
"(1, 0.8249766128114685)","(2, 0.9006556925150032)","(3, 0.6546498128638768)","(4, 0.6323265672720656)","(5, 0.9906781000678972)","(6, 0.879289339503934)","(7, 0.9256065597607808)","(8, 0.7627307952329365)"
"(1, 0.8522969353474087)","(2, 0.8613129143300641)","(3, 0.655546109969923)","(4, 0.6970511811686956)","(5, 0.9963258895112626)","(6, 0.8187944308021969)","(7, 0.894151334984067)","(8, 0.7843956266018459)"
"(1, 0.9183258636461408)","(2, 0.8092395939818768)","(3, 0.6987653020367813)","(4, 0.7265815467494652)","(5, 0.8589708164225174)","(6, 0.8815978852516029)","(7, 0.8826066763325863)","(8, 0.7435718928689569)"
"(1, 0.768818105227213)","(2, 0.8268232760830818)","(3, 0.6763342880521215)","(4, 0.7494475025966286)","(5, 0.933671469662746)","(6, 0.8704752463746849)","(7, 0.8019649905487137)","(8, 0.7327824696555294)"
"(1, 0.9701765854606936)","(2, 0.8872793467085592)","(3, 0.6532057422126828)","(4, 0.672863429073613)","(5, 0.9519459670832832)","(6, 0.9361037455354776)","(7, 0.8031931872738446)","(8, 0.781312444508546)"
"(1, 0.9312730912592904)","(2, 0.8724805529630131)","(3, 0.6070657806707286)","(4, 0.7229606411073106)","(5, 0.9205995596046423)","(6, 0.9957959510335268)","(7, 0.9330355703406096)","(8, 0.6674748335623669)"
"(1, 0.8972108502725147)","(2, 0.7812208977483616)","(3, 0.7320762998589672)","(4, 0.7566280446246205)","(5, 0.9653489856157744)","(6, 0.991931029921814)","(7, 0.8323808691256352)","(8, 0.6657280974601238)"
"(1, 0.8534739902717973)","(2, 0.9212583914833068)","(3, 0.6392946563335637)","(4, 0.6503180035671042)","(5, 0.926742910444138)","(6, 0.8254512898314359)","(7, 0.936897962468384)","(8, 0.7897691043514394)"
"(1, 0.9570723857166358)","(2, 0.8177168436904889)","(3, 0.5967106287928083)","(4, 0.5948210609525936)","(5, 0.9290213603313796)","(6, 0.90113560002151)","(7, 0.8732531470330439)","(8, 0.7323794267473835)"
"(1, 0.7921029607626727)","(2, 0.8966768793683088)","(3, 0.6085567166668697)","(4, 0.7404029465345286)","(5, 0.9340388682853644)","(6, 0.9347405671669332)","(7, 0.791285701614929)","(8, 0.7456577698417434)"
"(1, 0.8407829822136497)","(2, 0.7482275196376101)","(3, 0.5446055209943815)","(4, 0.7053957478329546)","(5, 0.9672504711625378)","(6, 0.9525339554658744)","(7, 0.876881833620693)","(8, 0.6739982530977314)"
"(1, 0.7657631847576823)","(2, 0.9125702210266642)","(3, 0.6482253652388309)","(4, 0.5896128565485111)","(5, 0.9809833177537128)","(6, 0.8856357042340695)","(7, 0.8584534063479297)","(8, 0.7250624344165779)"
"(1, 0.9043609251499956)","(2, 0.7467481514259302)","(3, 0.595306191135775)","(4, 0.6427723980582869)","(5, 0.9965285443934376)","(6, 0.937241026910666)","(7, 0.8266133322905915)","(8, 0.6731684265695062)"
"(1, 0.8047372715645743)","(2, 0.8380858012648049)","(3, 0.6810783418515005)","(4, 0.605655732794503)","(5, 0.8983318516583279)","(6, 0.8782760714684994)","(7, 0.8214711691131565)","(8, 0.7095133090602342)"
"(1, 0.8463188933831329)","(2, 0.7655794265322609)","(3, 0.6156825425134017)","(4, 0.7438636118285002)","(5, 0.998948266896094)","(6, 0.9534589479414686)","(7, 0.8979720825079782)","(8, 0.8115783920343191)"
"(1, 0.962236138468588)","(2, 0.9148420424413184)","(3, 0.6797887605631591)","(4, 0.727032868448023)","(5, 0.8421439476576866)","(6, 0.8762680217698323)","(7, 0.813588923678663)","(8, 0.7425326933790191)"
"(1, 0.955619558435537)","(2, 0.7818391366374581)","(3, 0.5717406248653311)","(4, 0.7395234389498475)","(5, 0.987021331758788)","(6, 0.9044828053718048)","(7, 0.8946832284432755)","(8, 0.7661925406723423)"
"(1, 0.7939115207524318)","(2, 0.9294535100343496)","(3, 0.7005383316078383)","(4, 0.7321437926058775)","(5, 0.852402588386397)","(6, 0.8529650161770832)","(7, 0.882603584294267)","(8, 0.8095050401240719)"
"(1, 0.8337494125613489)","(2, 0.8036396497327297)","(3, 0.7077702998360815)","(4, 0.678863753971739)","(5, 0.8614084173848371)","(6, 0.8639063459363554)","(7, 0.9090176313406176)","(8, 0.771446307681676)"
"(1, 0.913938613993234)","(2, 0.8778738991189818)","(3, 0.5468843811944202)","(4, 0.5662484400115136)","(5, 0.9345191693490944)","(6, 0.9426488096127156)","(7, 0.8625292395654007)","(8, 0.7440308043146351)"
"(1, 0.9630063491582144)","(2, 0.7895603781803485)","(3, 0.5724656064849875)","(4, 0.6731474489084635)","(5, 0.9923158386584776)","(6, 0.8208608527137208)","(7, 0.8851727809504073)","(8, 0.7079584731873605)"
"(1, 0.791590093559456)","(2, 0.7468291777711507)","(3, 0.6013611695726903)","(4, 0.6034508149553297)","(5, 0.8405418311454519)","(6, 0.8895207426252605)","(7, 0.9384415005345516)","(8, 0.666782431265426)"
