1,2,3,4,5,6,7,8
"(1, 0.9327877224200268)","(2, 0.8048613492077379)","(3, 0.7138797499907631)","(4, 0.5372145805654173)","(5, 0.3632384488583937)","(6, 0.224356637103547)","(7, 0.1801246664870317)","(8, 0.0117077073249343)"
"(1, 0.8487087984003291)","(2, 0.7016570795102477)","(3, 0.600007066023245)","(4, 0.5609220544568283)","(5, 0.5104204437323745)","(6, 0.2581673990727284)","(7, 0.2124242127948715)","(8, 0.1013568944713533)"
"(1, 0.8657165559691079)","(2, 0.8317025274403561)","(3, 0.6192486968122074)","(4, 0.5338291416184817)","(5, 0.5043509102557033)","(6, 0.3217457598342608)","(7, 0.3066281120965496)","(8, 0.0988752308294136)"
"(1, 0.915727789429756)","(2, 0.6939553554941028)","(3, 0.733177556053123)","(4, 0.6384001545317264)","(5, 0.5229194205726275)","(6, 0.2893507426347707)","(7, 0.143397021668575)","(8, 0.1507055618433145)"
"(1, 0.8562617194016336)","(2, 0.7978578963327737)","(3, 0.7213718773345387)","(4, 0.6139713716559585)","(5, 0.4664754703328032)","(6, 0.2717861622953885)","(7, 0.1189535274890593)","(8, 0.1323971571879011)"
"(1, 0.8791446254671417)","(2, 0.8504928379041431)","(3, 0.6743004565251093)","(4, 0.5560648189962243)","(5, 0.4726699941437549)","(6, 0.3512647413154233)","(7, 0.1481760844713588)","(8, 0.053320915085429)"
"(1, 0.9647770118259728)","(2, 0.8346623286616778)","(3, 0.6449900857385309)","(4, 0.5678161820311705)","(5, 0.4712050382655124)","(6, 0.285650284061251)","(7, 0.2186162238610998)","(8, 0.0863700236891695)"
"(1, 0.9513646134252352)","(2, 0.8598539636742881)","(3, 0.7728219740831463)","(4, 0.5456573306756266)","(5, 0.5038700559810898)","(6, 0.2375051938731857)","(7, 0.2999989230149831)","(8, 0.0148716872975083)"
"(1, 0.9687505141704706)","(2, 0.7189509704128336)","(3, 0.7232468515855415)","(4, 0.6267725083867028)","(5, 0.361433624406627)","(6, 0.3211445288040235)","(7, 0.2963881835093443)","(8, 0.1064359987125229)"
"(1, 0.9552350711510352)","(2, 0.8091325556393286)","(3, 0.6620853209888636)","(4, 0.4911869492994919)","(5, 0.3800744091192191)","(6, 0.2250585257058478)","(7, 0.3018696428388219)","(8, 0.0514608380213562)"
"(1, 0.8849932586878678)","(2, 0.7233566388962972)","(3, 0.6025208428879468)","(4, 0.5274480683677844)","(5, 0.5300703681858523)","(6, 0.232171787680548)","(7, 0.2769243836037633)","(8, 0.125684081514779)"
"(1, 0.9539534701213293)","(2, 0.7953275617003199)","(3, 0.701203697702136)","(4, 0.498009894567464)","(5, 0.4744755159319345)","(6, 0.2367476198405184)","(7, 0.3155743456989626)","(8, 0.1654128220056845)"
"(1, 0.8465630248452723)","(2, 0.8515102072736972)","(3, 0.566819495319444)","(4, 0.6123122074612849)","(5, 0.3607617334697157)","(6, 0.2731313718874113)","(7, 0.276748482162679)","(8, 0.1744939703977925)"
"(1, 0.8777593055453431)","(2, 0.7348567371662651)","(3, 0.7191515152800013)","(4, 0.6119888103528818)","(5, 0.5077663650734742)","(6, 0.3721493655617365)","(7, 0.3019465683465005)","(8, 0.0959213835959809)"
"(1, 0.953408706473672)","(2, 0.8045563507813381)","(3, 0.610640602676736)","(4, 0.472299574998173)","(5, 0.5208249840450089)","(6, 0.3179991656708999)","(7, 0.174324713296737)","(8, 0.0219455325987542)"
"(1, 0.9682260670985272)","(2, 0.6816435595247805)","(3, 0.7075165266206925)","(4, 0.5672431923593233)","(5, 0.3697860007915873)","(6, 0.2506073673063679)","(7, 0.1526367146973221)","(8, 0.1880157811248902)"
"(1, 0.9682606944181644)","(2, 0.8170694735578131)","(3, 0.7286008736709864)","(4, 0.5726983866205273)","(5, 0.4137760227445449)","(6, 0.2278834372274573)","(7, 0.1656986095348595)","(8, 0.149108524218575)"
"(1, 0.967655438024316)","(2, 0.798868094999484)","(3, 0.6334392116987133)","(4, 0.4841400207947924)","(5, 0.3809752934168072)","(6, 0.2504620282169436)","(7, 0.2907819930631196)","(8, 0.1819463207941877)"
"(1, 0.8481639582644301)","(2, 0.7167954972190206)","(3, 0.6055662489654092)","(4, 0.6015125449892247)","(5, 0.4288641661362425)","(6, 0.2969288423638189)","(7, 0.1883937408021907)","(8, 0.1804858926515759)"
"(1, 0.8984039591278229)","(2, 0.7914591284704702)","(3, 0.6067305701294863)","(4, 0.4810575498845372)","(5, 0.4085252602599191)","(6, 0.3107352519068537)","(7, 0.1544874578585401)","(8, 0.1069429055411489)"
"(1, 0.9311353020891284)","(2, 0.8448962814051124)","(3, 0.6394914534668139)","(4, 0.5175742415231727)","(5, 0.3520652405596304)","(6, 0.3284869344664942)","(7, 0.1937046408746692)","(8, 0.0335146459164761)"
"(1, 0.9103098754989744)","(2, 0.7933629272753462)","(3, 0.7708371474708939)","(4, 0.5885723776377787)","(5, 0.3979484634712134)","(6, 0.3769309294713137)","(7, 0.3161902876627136)","(8, 0.0569197397986663)"
"(1, 0.8681289473560887)","(2, 0.7714596429781384)","(3, 0.60384721006288)","(4, 0.5164277741948211)","(5, 0.4033771744560835)","(6, 0.288483390521577)","(7, 0.2896402236796855)","(8, 0.012349559446093)"
"(1, 0.8616610356853232)","(2, 0.8606851149381433)","(3, 0.6237251901205213)","(4, 0.466522322187926)","(5, 0.3647234371264188)","(6, 0.3414472851103424)","(7, 0.2973719082936641)","(8, 0.1197621074047887)"
"(1, 0.9270123140218104)","(2, 0.796614616960611)","(3, 0.6830348267512372)","(4, 0.5761462448894088)","(5, 0.5195893824771787)","(6, 0.3167167562375951)","(7, 0.1166931881191655)","(8, 0.1687532119581642)"
"(1, 0.9033645476442094)","(2, 0.7035772985150351)","(3, 0.6979920996057726)","(4, 0.589910806137966)","(5, 0.5081419732462384)","(6, 0.2483415344477001)","(7, 0.3024332135575645)","(8, 0.1690150378355664)"
"(1, 0.9502384312858906)","(2, 0.7597061071448735)","(3, 0.5676139238998084)","(4, 0.5529280414511418)","(5, 0.5194068366541722)","(6, 0.3085453555387841)","(7, 0.3029483820023616)","(8, 0.0945102634526992)"
"(1, 0.9112940611331558)","(2, 0.8409164784078579)","(3, 0.777664977923977)","(4, 0.6091444476576895)","(5, 0.3587222882720313)","(6, 0.334029267651192)","(7, 0.149106530733681)","(8, 0.0803697760463446)"
"(1, 0.8552770528870121)","(2, 0.7429400846806542)","(3, 0.6796336414109972)","(4, 0.5748462459308865)","(5, 0.3962294729606479)","(6, 0.2872570953964785)","(7, 0.2648509588061063)","(8, 0.0829263962487149)"
"(1, 0.9420915533440564)","(2, 0.691716707462009)","(3, 0.6150671262916052)","(4, 0.5688829505521542)","(5, 0.4032104037654105)","(6, 0.2625715766485295)","(7, 0.1598665575025657)","(8, 0.0240062302770076)"
"(1, 0.8627869668204962)","(2, 0.752461597111607)","(3, 0.6952791057046547)","(4, 0.53839117031292)","(5, 0.4873340911947219)","(6, 0.3800411916356746)","(7, 0.1813196402035909)","(8, 0.1823901623991997)"
"(1, 0.9051229007389932)","(2, 0.7398332196551739)","(3, 0.715829170557022)","(4, 0.6406683153905277)","(5, 0.44340217616811)","(6, 0.3039787953760567)","(7, 0.2731545142801174)","(8, 0.1202022307429202)"
"(1, 0.9337660101924696)","(2, 0.7391356421814568)","(3, 0.5759800052833468)","(4, 0.5073660999081454)","(5, 0.4660806989999362)","(6, 0.2928420841792762)","(7, 0.2798596057092409)","(8, 0.0515851301098278)"
"(1, 0.910443301753664)","(2, 0.7596179040964207)","(3, 0.5673095696401602)","(4, 0.5842933007693742)","(5, 0.3632635125234)","(6, 0.2730050753991018)","(7, 0.3066182159052693)","(8, 0.1787854485890233)"
"(1, 0.9062956813790568)","(2, 0.7297106645749568)","(3, 0.6224470337918031)","(4, 0.4754308314476147)","(5, 0.493782769869561)","(6, 0.3507021408633511)","(7, 0.3040413689104273)","(8, 0.1872727853871158)"
"(1, 0.9693485689824306)","(2, 0.8338218287030233)","(3, 0.6192983051924079)","(4, 0.5183157579203713)","(5, 0.4424242689040758)","(6, 0.2626747387238907)","(7, 0.1294223863525405)","(8, 0.1812908332590544)"
"(1, 0.9449516358809068)","(2, 0.7960863112413596)","(3, 0.5751375773033539)","(4, 0.633919167169972)","(5, 0.4555038716329308)","(6, 0.2532067503446173)","(7, 0.1758356800849873)","(8, 0.1243744769310027)"
"(1, 0.8738633286042345)","(2, 0.6860459356584129)","(3, 0.6110766864688406)","(4, 0.4972338257457113)","(5, 0.4166548788669594)","(6, 0.2753609132909739)","(7, 0.2500776865217883)","(8, 0.0548024161033194)"
"(1, 0.1)","(2, 0.2)","(3, 0.3)","(4, 0.4)","(5, 0.5)","(6, 0.6)","(7, 0.7)","(8, 0.8)"
